Package Name,Package Type,Custodian
requests-oauthlib,Dependency Package,1
requests-toolbelt,Dependency Package,2
retry,Base Package,1
retrying,Dependency Package,2
rfc3339-validator,Dependency Package,1
rfc3986,Dependency Package,2
rfc3986-validator,Dependency Package,1
rich,Dependency Package,1
rich-click,Dependency Package,1
rope,Dependency Package,1
rpds-py,Dependency Package,1
rsa,Dependency Package,1
ruamel.yaml,Base Package,1
ruamel.yaml.clib,Base Package,1
ruff,Base Package,1
safetensors,Dependency Package,2
schemdraw,Base Package,2
scikit-base,Dependency Package,2
scikit-learn,Dependency Package,1
scikit-plot,Base Package,1
scipy,Dependency Package,1
seaborn,Base Package,1
SecretStorage,Dependency Package,1
secure,Dependency Package,1
selenium,Base Package,1
semver,Dependency Package,1
Send2Trash,Dependency Package,1
sentencepiece,Dependency Package,2
sentence-transformers,Base Package,1
sentinels,Dependency Package,2
setuptools,Dependency Package,2
shap,Dependency Package,2
shellingham,Dependency Package,1
simplejson,Base Package,2
six,Dependency Package,1
sktime,Base Package,1
slicer,Dependency Package,2
smart-open,Dependency Package,1
smmap,Dependency Package,1
sniffio,Dependency Package,1
sortedcontainers,Dependency Package,2
soupsieve,Dependency Package,1
spacy,Dependency Package,1
spacy-legacy,Dependency Package,1
spacy-loggers,Dependency Package,1
sparse-dot-topn,Base Package,2
SQLAlchemy,Dependency Package,1
sqlparse,Dependency Package,2
srsly,Dependency Package,1
sseclient-py,Dependency Package,2
stack-data,Dependency Package,1
starlette,Dependency Package,1
statsmodels,Dependency Package,1
stevedore,Dependency Package,2
strawberry-graphql,Dependency Package,1
streamlit,Base Package,1
strictyaml,Dependency Package,1
striprtf,Dependency Package,2
strsimpy,Base Package,2
sympy,Dependency Package,2
tabula-py,Base Package,1
tabulate,Dependency Package,1
tantivy,Base Package,2
tbats,Base Package,1
tenacity,Dependency Package,1
tensorboard,Dependency Package,2
tensorboard-data-server,Dependency Package,2
tensorflow,Base Package,1
tensorflow-io-gcs-filesystem,Base Package,2
termcolor,Dependency Package,2
terminado,Dependency Package,1
textblob,Base Package,1
text-unidecode,Dependency Package,1
tf2onnx,Base Package,1
thinc,Dependency Package,1
threadpoolctl,Dependency Package,1
tiktoken,Dependency Package,2
tinycss2,Base Package,1
tokenizers,Dependency Package,2
toml,Dependency Package,1
tomli,Base Package,1
tomlkit,Dependency Package,2
toolz,Base Package,2
toposort,Base Package,1
torch,Dependency Package,2
torchvision,Dependency Package,2
tornado,Dependency Package,1
tox,Base Package,1
tqdm,Dependency Package,1
traitlets,Dependency Package,1
transformers,Dependency Package,2
trio,Dependency Package,2
trio-websocket,Dependency Package,2
trove-classifiers,Dependency Package,2
tsdownsample,Dependency Package,2
twine,Base Package,1
typeguard,Dependency Package,2
typer,Dependency Package,1
types-python-dateutil,Dependency Package,1
typing-extensions,Dependency Package,1
typing-inspect,Dependency Package,1
tzdata,Dependency Package,1
tzlocal,Dependency Package,2
ujson,Dependency Package,2
unicorn,Base Package,2
unstructured,Base Package,1
unstructured-client,Dependency Package,2
uri-template,Base Package,1
urllib3,Dependency Package,1
url-normalize,Dependency Package,2
uvicorn,Dependency Package,1
uvloop,Base Package,1
virtualenv,Dependency Package,2
wasabi,Dependency Package,1
watchdog,Dependency Package,1
watchfiles,Dependency Package,1
watchgod,Base Package,1
wcwidth,Dependency Package,1
weasel,Dependency Package,1
webcolors,Base Package,1
webencodings,Dependency Package,1
websocket-client,Dependency Package,1
websockets,Base Package,1
Werkzeug,Dependency Package,2
wheel,Dependency Package,2
widgetsnbextension,Dependency Package,2
wrapt,Dependency Package,1
wsproto,Dependency Package,2
wurlitzer,Base Package,2
xattr,Base Package,1
xgboost,Base Package,2
xxhash,Dependency Package,2
yarl,Dependency Package,1
yellowbrick,Base Package,1
zipp,Dependency Package,1
zstandard,Dependency Package,2
